ground_truth_fqdn,base_fqdn,l1,l2,sample_count,segment_sample_count,secondary_intent_count,stress_slices
account.compliance.security.cn,compliance.security.cn,security,compliance,12,12,0,high_risk_governance_tone;parent_child_granularity
action-items.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,18,18,6,cross_domain_overlap;near_duplicate_descriptors;parent_child_granularity;primary_secondary_conflict
activity.travel.cn,activity.travel.cn,travel,activity,15,0,6,cross_domain_overlap;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
beijing.hotel.travel.cn,hotel.travel.cn,travel,hotel,9,9,0,parent_child_granularity
budget.finance.cn,budget.finance.cn,finance,budget,13,0,9,cross_domain_overlap;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
clinic.health.cn,clinic.health.cn,health,clinic,9,0,6,cross_domain_overlap;near_duplicate_descriptors;primary_secondary_conflict
compliance.security.cn,compliance.security.cn,security,compliance,11,0,3,high_risk_governance_tone;near_duplicate_descriptors;primary_secondary_conflict
coupon.commerce.cn,coupon.commerce.cn,commerce,coupon,9,0,6,cross_domain_overlap;near_duplicate_descriptors;primary_secondary_conflict
course.education.cn,course.education.cn,education,course,17,0,9,cross_domain_overlap;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
data.compliance.security.cn,compliance.security.cn,security,compliance,15,15,3,cross_domain_overlap;high_risk_governance_tone;parent_child_granularity
docs.productivity.cn,docs.productivity.cn,productivity,docs,17,0,9,cross_domain_overlap;low_rank_gold;primary_secondary_conflict
fitness.health.cn,fitness.health.cn,health,fitness,17,0,6,cross_domain_overlap;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
flight.travel.cn,flight.travel.cn,travel,flight,9,0,6,near_duplicate_descriptors;primary_secondary_conflict
fraud.security.cn,fraud.security.cn,security,fraud,18,0,9,cross_domain_overlap;high_risk_governance_tone;near_duplicate_descriptors;primary_secondary_conflict
hotel.travel.cn,hotel.travel.cn,travel,hotel,9,0,6,cross_domain_overlap;near_duplicate_descriptors;primary_secondary_conflict
invest.finance.cn,invest.finance.cn,finance,invest,21,0,6,cross_domain_overlap;low_rank_gold;primary_secondary_conflict
issue.invoice.finance.cn,invoice.finance.cn,finance,invoice,18,18,3,high_risk_governance_tone;near_duplicate_descriptors;parent_child_granularity;primary_secondary_conflict
itinerary.travel.cn,itinerary.travel.cn,travel,itinerary,9,0,9,cross_domain_overlap;primary_secondary_conflict
meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,6,0,3,cross_domain_overlap;near_duplicate_descriptors
nutrition.health.cn,nutrition.health.cn,health,nutrition,17,0,6,cross_domain_overlap;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
permit.gov.cn,permit.gov.cn,gov,permit,31,0,6,cross_domain_overlap;high_risk_governance_tone;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
policy.gov.cn,policy.gov.cn,gov,policy,18,0,3,cross_domain_overlap;high_risk_governance_tone;near_duplicate_descriptors
price.commerce.cn,price.commerce.cn,commerce,price,9,0,6,cross_domain_overlap;near_duplicate_descriptors;primary_secondary_conflict
reimburse.invoice.finance.cn,invoice.finance.cn,finance,invoice,15,15,6,cross_domain_overlap;near_duplicate_descriptors;parent_child_granularity;primary_secondary_conflict
restaurant.travel.cn,restaurant.travel.cn,travel,restaurant,14,0,6,cross_domain_overlap;low_rank_gold;primary_secondary_conflict
risk.security.cn,risk.security.cn,security,risk,19,0,9,cross_domain_overlap;high_risk_governance_tone;near_duplicate_descriptors;primary_secondary_conflict
schedule.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,18,18,6,cross_domain_overlap;near_duplicate_descriptors;parent_child_granularity;primary_secondary_conflict
summary.meeting.productivity.cn,meeting.productivity.cn,productivity,meeting,15,15,3,near_duplicate_descriptors;parent_child_granularity;primary_secondary_conflict
tax.finance.cn,tax.finance.cn,finance,tax,12,0,3,high_risk_governance_tone;primary_secondary_conflict
transaction.compliance.security.cn,compliance.security.cn,security,compliance,21,21,0,high_risk_governance_tone;parent_child_granularity
transport.travel.cn,transport.travel.cn,travel,transport,17,0,6,cross_domain_overlap;low_rank_gold;near_duplicate_descriptors;primary_secondary_conflict
tutoring.education.cn,tutoring.education.cn,education,tutoring,9,0,6,cross_domain_overlap;near_duplicate_descriptors;primary_secondary_conflict
verify.invoice.finance.cn,invoice.finance.cn,finance,invoice,15,15,3,high_risk_governance_tone;near_duplicate_descriptors;parent_child_granularity;primary_secondary_conflict
weather.cn,weather.cn,weather,,9,0,9,cross_domain_overlap;primary_secondary_conflict
xian.itinerary.travel.cn,itinerary.travel.cn,travel,itinerary,9,9,0,parent_child_granularity
