id,stress_slice,ground_truth_fqdn,gold_rank,gold_in_top_k,head_fqdn
hard_boundary_v1_000001,low_rank_gold,permit.gov.cn,25,true,compliance.security.cn
hard_boundary_v1_000002,low_rank_gold,permit.gov.cn,25,true,compliance.security.cn
hard_boundary_v1_000003,low_rank_gold,permit.gov.cn,24,true,compliance.security.cn
hard_boundary_v1_000004,low_rank_gold,permit.gov.cn,23,true,compliance.security.cn
hard_boundary_v1_000005,low_rank_gold,permit.gov.cn,23,true,compliance.security.cn
hard_boundary_v1_000006,low_rank_gold,permit.gov.cn,22,true,compliance.security.cn
hard_boundary_v1_000007,low_rank_gold,permit.gov.cn,20,true,policy.gov.cn
hard_boundary_v1_000008,low_rank_gold,permit.gov.cn,20,true,policy.gov.cn
hard_boundary_v1_000009,low_rank_gold,nutrition.health.cn,20,true,clinic.health.cn
hard_boundary_v1_000010,low_rank_gold,invest.finance.cn,20,true,tax.finance.cn
hard_boundary_v1_000011,low_rank_gold,invest.finance.cn,19,true,tax.finance.cn
hard_boundary_v1_000012,low_rank_gold,invest.finance.cn,19,true,tax.finance.cn
hard_boundary_v1_000013,low_rank_gold,invest.finance.cn,16,true,tax.finance.cn
hard_boundary_v1_000014,low_rank_gold,invest.finance.cn,15,true,tax.finance.cn
hard_boundary_v1_000015,low_rank_gold,invest.finance.cn,15,true,tax.finance.cn
hard_boundary_v1_000016,low_rank_gold,invest.finance.cn,15,true,tax.finance.cn
hard_boundary_v1_000017,low_rank_gold,invest.finance.cn,15,true,tax.finance.cn
hard_boundary_v1_000018,low_rank_gold,docs.productivity.cn,14,true,schedule.meeting.productivity.cn
hard_boundary_v1_000019,low_rank_gold,docs.productivity.cn,12,true,compliance.security.cn
hard_boundary_v1_000020,low_rank_gold,docs.productivity.cn,12,true,compliance.security.cn
hard_boundary_v1_000021,low_rank_gold,activity.travel.cn,12,true,transport.travel.cn
hard_boundary_v1_000022,low_rank_gold,docs.productivity.cn,11,true,schedule.meeting.productivity.cn
hard_boundary_v1_000023,low_rank_gold,docs.productivity.cn,11,true,schedule.meeting.productivity.cn
hard_boundary_v1_000024,low_rank_gold,activity.travel.cn,11,true,risk.security.cn
hard_boundary_v1_000025,low_rank_gold,activity.travel.cn,10,true,xian.itinerary.travel.cn
hard_boundary_v1_000026,low_rank_gold,activity.travel.cn,10,true,xian.itinerary.travel.cn
hard_boundary_v1_000027,low_rank_gold,budget.finance.cn,9,true,transport.travel.cn
hard_boundary_v1_000028,low_rank_gold,activity.travel.cn,9,true,weather.cn
hard_boundary_v1_000029,low_rank_gold,transport.travel.cn,8,true,weather.cn
hard_boundary_v1_000030,low_rank_gold,nutrition.health.cn,8,true,fitness.health.cn
hard_boundary_v1_000031,low_rank_gold,activity.travel.cn,8,true,transport.travel.cn
hard_boundary_v1_000032,low_rank_gold,nutrition.health.cn,7,true,fitness.health.cn
hard_boundary_v1_000033,low_rank_gold,fitness.health.cn,7,true,nutrition.health.cn
hard_boundary_v1_000034,low_rank_gold,fitness.health.cn,7,true,nutrition.health.cn
hard_boundary_v1_000035,low_rank_gold,fitness.health.cn,7,true,schedule.meeting.productivity.cn
hard_boundary_v1_000036,low_rank_gold,fitness.health.cn,7,true,schedule.meeting.productivity.cn
hard_boundary_v1_000037,low_rank_gold,fitness.health.cn,7,true,nutrition.health.cn
hard_boundary_v1_000038,low_rank_gold,nutrition.health.cn,6,true,fitness.health.cn
hard_boundary_v1_000039,low_rank_gold,nutrition.health.cn,6,true,fitness.health.cn
hard_boundary_v1_000040,low_rank_gold,fitness.health.cn,6,true,nutrition.health.cn
hard_boundary_v1_000041,low_rank_gold,transport.travel.cn,5,true,clinic.health.cn
hard_boundary_v1_000042,low_rank_gold,transport.travel.cn,5,true,clinic.health.cn
hard_boundary_v1_000043,low_rank_gold,transport.travel.cn,5,true,schedule.meeting.productivity.cn
hard_boundary_v1_000044,low_rank_gold,transport.travel.cn,5,true,hotel.travel.cn
hard_boundary_v1_000045,low_rank_gold,transport.travel.cn,5,true,hotel.travel.cn
hard_boundary_v1_000046,low_rank_gold,transport.travel.cn,5,true,schedule.meeting.productivity.cn
hard_boundary_v1_000047,low_rank_gold,nutrition.health.cn,5,true,fitness.health.cn
hard_boundary_v1_000048,low_rank_gold,docs.productivity.cn,5,true,schedule.meeting.productivity.cn
hard_boundary_v1_000049,low_rank_gold,docs.productivity.cn,5,true,schedule.meeting.productivity.cn
hard_boundary_v1_000050,low_rank_gold,docs.productivity.cn,5,true,schedule.meeting.productivity.cn
hard_boundary_v1_000051,low_rank_gold,course.education.cn,5,true,tutoring.education.cn
hard_boundary_v1_000052,low_rank_gold,course.education.cn,5,true,tutoring.education.cn
hard_boundary_v1_000053,low_rank_gold,transport.travel.cn,4,true,schedule.meeting.productivity.cn
hard_boundary_v1_000054,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
hard_boundary_v1_000055,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
hard_boundary_v1_000056,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
hard_boundary_v1_000057,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
hard_boundary_v1_000058,low_rank_gold,restaurant.travel.cn,4,true,coupon.commerce.cn
